item_id,category,attribute_id,related_item_id
83,code,4,634
84,code,33,540
85,code,32,695
86,code,28,630
86,code,28,149
86,code,28,523
86,code,50,322
87,code,32,14
87,code,32,362
87,code,15,221
87,code,15,312
88,code,1,723
88,code,14,83
88,code,14,654
89,code,33,490
89,code,33,794
90,code,38,568
90,code,10,403
90,code,10,432
91,code,9,592
91,code,9,106
91,code,39,121
91,code,39,369
91,code,39,78
91,code,26,425
91,code,26,125
92,code,39,639
92,code,39,523
93,code,10,284
93,code,10,735
93,code,1,556
93,code,1,788
93,code,1,34
94,code,8,265
94,code,8,246
94,code,8,94
95,code,11,590
95,code,11,58
95,code,11,282
96,code,47,510
96,code,47,173
96,code,34,324
96,code,34,263
96,code,34,218
96,code,4,478
97,code,11,319
97,code,11,9
97,code,11,241
98,code,43,770
98,code,43,731
98,code,43,66
98,code,20,5
98,code,20,795
98,code,20,88
99,code,18,310
99,code,18,540
100,code,4,182
100,code,4,318
100,code,4,505
100,code,12,24
100,code,22,350
101,code,24,696
101,code,24,155
101,code,18,665
101,code,18,386
101,code,18,445
101,code,32,71
101,code,32,40
101,code,32,359
102,code,41,12
102,code,41,403
103,code,5,77
103,code,5,751
103,code,45,72
103,code,45,641
103,code,45,35
104,code,19,660
104,code,19,177
104,code,3,215
104,code,41,150
105,code,23,319
105,code,29,30
105,code,13,105
105,code,13,535
105,code,13,669
106,code,26,304
106,code,26,68
106,code,26,351
106,code,43,653
106,code,43,383
106,code,27,646
107,code,36,699
107,code,8,587
107,code,8,266
107,code,8,743
108,code,8,549
108,code,8,101
108,code,8,31
108,code,47,667
108,code,47,64
108,code,47,571
109,code,13,148
109,code,13,471
109,code,13,192
109,code,36,234
109,code,36,266
109,code,1,488
109,code,1,740
109,code,1,425
110,code,23,129
110,code,28,263
111,code,5,433
111,code,45,227
112,code,8,182
112,code,8,379
112,code,1,553
112,code,1,175
112,code,1,571
113,code,4,290
113,code,4,434
113,code,33,374
113,code,32,533
113,code,32,225
114,code,42,525
114,code,42,256
114,code,42,596
115,code,39,709
115,code,39,706
115,code,25,647
115,code,25,223
115,code,25,637
116,code,45,659
116,code,45,279
116,code,45,317
117,code,25,290
118,code,16,413
119,code,50,599
119,code,8,641
119,code,8,625
119,code,40,138
120,code,29,224
120,code,29,16
120,code,29,729
120,code,3,175
120,code,14,425
120,code,14,608
121,code,29,226
121,code,29,189
121,code,29,264
122,code,31,78
122,code,31,442
123,code,29,165
123,code,13,754
123,code,13,581
123,code,13,405
124,code,41,705
124,code,41,325
124,code,41,180
124,code,23,548
124,code,23,386
124,code,30,799
124,code,30,748
124,code,30,427
125,code,22,467
125,code,22,33
125,code,22,280
125,code,18,391
125,code,18,499
126,code,9,721
126,code,9,671
127,code,19,503
127,code,4,49
127,code,4,174
127,code,7,409
127,code,7,150
127,code,7,732
128,code,19,465
128,code,19,367
128,code,26,627
128,code,39,264
129,code,30,523
129,code,30,364
129,code,30,721
129,code,41,768
130,code,30,24
130,code,30,288
130,code,30,237
131,code,17,67
131,code,17,694
131,code,17,324
132,code,47,430
132,code,47,509
132,code,47,653
132,code,26,127
132,code,26,250
133,code,34,276
133,code,34,63
133,code,25,616
133,code,25,435
133,code,12,500
133,code,12,404
133,code,12,38
134,code,13,236
134,code,13,122
135,code,37,171
135,code,37,2
135,code,37,301
135,code,5,321
135,code,5,251
135,code,29,792
135,code,29,141
136,code,24,262
136,code,24,101
136,code,24,409
137,code,42,137
137,code,42,237
137,code,43,311
138,code,15,575
138,code,15,328
138,code,19,252
139,code,4,258
139,code,4,420
140,code,7,444
140,code,39,66
141,code,49,573
141,code,49,229
141,code,2,503
141,code,2,26
141,code,2,415
142,code,28,468
142,code,28,697
143,code,44,90
143,code,19,198
143,code,19,719
143,code,19,638
144,code,23,312
144,code,23,583
144,code,23,306
144,code,25,281
145,code,36,494
145,code,36,358
145,code,25,202
146,code,26,14
147,code,15,291
147,code,1,549
147,code,1,773
147,code,13,130
147,code,13,613
147,code,13,543
148,code,49,670
149,code,50,538
149,code,50,192
149,code,50,496
149,code,8,598
150,code,48,317
151,code,14,599
151,code,3,129
151,code,3,99
152,code,36,489
152,code,36,535
152,code,50,506
152,code,50,570
152,code,50,792
152,code,39,463
152,code,39,494
153,code,2,669
153,code,2,129
154,code,10,546
154,code,10,288
154,code,10,394
154,code,5,720
154,code,5,513
154,code,5,777
154,code,45,126
155,code,16,482
155,code,16,214
155,code,16,728
155,code,25,354
155,code,25,588
155,code,11,123
156,code,9,650
156,code,9,466
156,code,9,468
156,code,3,18
156,code,16,481
157,code,39,645
157,code,39,322
157,code,29,161
157,code,29,401
157,code,29,715
158,code,48,754
158,code,48,353
158,code,48,9
158,code,50,143
158,code,50,566
158,code,50,782
158,code,18,703
159,code,4,483
159,code,4,475
159,code,4,395
159,code,37,198
159,code,37,45
159,code,37,486
160,code,41,531
160,code,41,602
160,code,41,84
161,code,13,637
161,code,13,428
161,code,11,510
162,code,49,81
162,code,49,248
163,code,48,744
163,code,48,9
163,code,44,183
164,code,10,421
164,code,10,142
164,code,34,685
164,code,3,628
164,code,3,730
164,code,3,194
165,code,45,736
165,code,45,783
166,code,44,129
166,code,26,718
166,code,26,151
166,code,26,145
166,code,49,464
166,code,49,496
167,code,8,518
168,code,11,279
168,code,11,781
169,code,13,82
169,code,11,154
169,code,11,335
169,code,11,425
169,code,37,349
170,code,49,508
171,code,27,531
171,code,27,527
172,code,39,764
172,code,39,151
172,code,39,638
172,code,23,422
173,code,3,153
173,code,3,283
173,code,3,437
174,code,35,786
174,code,35,475
174,code,35,687
174,code,31,161
174,code,31,362
174,code,46,654
174,code,46,649
174,code,46,323
175,code,20,792
175,code,20,191
175,code,20,509
176,code,2,198
176,code,2,17
176,code,2,703
176,code,34,45
176,code,32,193
177,code,8,312
177,code,8,499
178,code,15,370
178,code,15,135
178,code,37,754
178,code,37,684
178,code,16,19
178,code,16,421
179,code,25,331
179,code,25,554
180,code,42,381
180,code,42,658
180,code,42,329
181,code,43,38
181,code,43,386
181,code,11,384
181,code,11,249
181,code,11,521
181,code,49,463
181,code,49,637
182,code,29,336
182,code,29,142
182,code,29,581
182,code,44,760
182,code,44,328
182,code,8,334
182,code,8,192
183,code,19,186
183,code,19,616
184,code,44,752
185,code,12,333
185,code,2,173
185,code,2,573
185,code,2,674
185,code,38,739
185,code,38,678
186,code,29,481
186,code,29,624
186,code,29,307
186,code,10,402
186,code,10,51
186,code,10,760
187,code,35,263
187,code,35,578
187,code,35,221
187,code,14,684
187,code,14,14
187,code,14,755
187,code,17,537
187,code,17,756
188,code,33,654
188,code,39,222
188,code,39,694
188,code,39,250
188,code,28,648
188,code,28,770
189,code,26,168
189,code,33,729
190,code,35,629
190,code,25,355
191,code,9,766
191,code,9,734
191,code,9,502
191,code,3,329
191,code,3,60
191,code,50,592
191,code,50,338
191,code,50,349
192,code,26,610
192,code,10,70
192,code,10,483
193,code,31,474
193,code,31,41
193,code,31,472
193,code,12,731
193,code,12,20
194,code,8,449
194,code,8,453
194,code,8,587
194,code,38,41
194,code,38,518
194,code,11,752
195,code,45,122
195,code,12,601
195,code,12,228
195,code,12,672
195,code,8,120
195,code,8,528
195,code,8,237
196,code,39,671
196,code,39,216
196,code,39,152
197,code,6,392
197,code,6,30
197,code,6,763
197,code,35,147
197,code,35,608
198,code,9,129
198,code,9,46
198,code,9,264
199,code,11,615
199,code,13,483
199,code,40,129
199,code,40,407
199,code,40,84
200,code,2,654
200,code,49,457
200,code,49,301
200,code,49,197
200,code,44,32
200,code,44,674
201,image,40,126
201,image,40,111
201,image,49,219
202,image,24,185
202,image,24,109
203,image,3,526
203,image,3,41
203,image,3,745
204,image,36,524
204,image,11,751
204,image,11,239
205,image,33,107
205,image,33,4
205,image,33,165
205,image,27,120
205,image,27,547
206,image,11,170
206,image,11,656
206,image,5,440
206,image,8,357
206,image,8,190
206,image,8,211
207,image,46,751
207,image,46,356
207,image,46,197
208,image,29,146
208,image,29,745
208,image,29,656
208,image,10,419
208,image,10,94
208,image,10,53
209,image,2,109
209,image,2,748
209,image,36,302
209,image,36,351
210,image,19,513
211,image,43,41
211,image,43,496
211,image,47,652
211,image,47,429
211,image,47,611
211,image,20,438
211,image,20,238
212,image,28,482
212,image,7,532
212,image,14,757
213,image,15,448
213,image,15,441
213,image,36,110
213,image,36,780
213,image,36,596
213,image,18,364
213,image,18,670
213,image,18,228
214,image,42,490
214,image,42,377
215,image,38,644
215,image,5,575
215,image,5,350
215,image,30,335
215,image,30,289
216,image,14,412
217,image,28,756
217,image,28,472
217,image,6,440
218,image,4,202
219,image,39,137
219,image,39,68
219,image,22,550
219,image,22,188
219,image,22,562
220,image,43,498
221,image,20,434
221,image,30,111
221,image,33,780
221,image,33,435
221,image,33,648
222,image,1,35
223,image,19,142
223,image,19,140
223,image,9,705
223,image,9,366
223,image,7,461
223,image,7,294
224,image,14,794
224,image,14,279
224,image,14,756
224,image,4,257
224,image,4,210
224,image,4,133
224,image,26,132
225,image,45,397
225,image,45,520
225,image,35,707
226,image,8,2
226,image,22,210
226,image,22,172
226,image,7,487
226,image,7,695
226,image,7,563
227,image,23,559
227,image,50,232
227,image,7,76
227,image,7,122
228,image,11,60
228,image,11,723
228,image,16,110
228,image,40,711
228,image,40,594
229,image,35,471
229,image,35,240
229,image,38,248
229,image,38,615
229,image,33,151
229,image,33,577
230,image,13,547
230,image,13,391
230,image,13,540
231,image,16,564
231,image,12,62
232,image,11,499
232,image,11,203
233,image,29,530
233,image,29,694
233,image,48,278
233,image,48,55
233,image,48,246
233,image,20,519
233,image,20,578
233,image,20,100
234,image,26,791
234,image,26,706
234,image,26,225
235,image,24,589
235,image,13,796
235,image,13,146
236,image,21,267
236,image,21,162
236,image,21,716
236,image,42,203
237,image,26,239
237,image,25,499
237,image,25,139
238,image,9,46
238,image,9,566
238,image,50,455
238,image,22,147
238,image,22,176
238,image,22,507
239,image,5,208
239,image,5,295
240,image,35,551
240,image,35,372
240,image,7,412
240,image,7,719
240,image,7,118
240,image,17,340
240,image,17,325
240,image,17,569
241,image,50,510
241,image,50,745
242,image,5,78
242,image,24,112
242,image,24,294
242,image,6,779
243,image,6,370
243,image,6,150
243,image,6,565
244,image,6,580
244,image,6,637
244,image,32,99
244,image,32,641
244,image,32,449
245,image,17,294
246,image,48,515
246,image,48,568
246,image,48,548
246,image,33,718
246,image,33,471
246,image,47,335
246,image,47,173
247,image,26,437
247,image,26,570
247,image,38,730
247,image,38,87
247,image,38,580
248,image,15,790
248,image,15,309
248,image,15,511
248,image,14,653
248,image,14,48
249,image,28,621
249,image,28,684
249,image,35,235
249,image,35,245
249,image,43,18
249,image,43,621
249,image,43,220
250,image,24,300
250,image,24,193
250,image,38,214
250,image,38,306
251,image,10,642
251,image,44,584
251,image,44,458
252,image,46,285
252,image,46,302
252,image,34,763
252,image,34,584
252,image,11,259
252,image,11,95
252,image,11,772
253,image,22,209
253,image,22,491
253,image,22,667
254,image,37,776
255,image,7,671
255,image,7,523
255,image,7,800
256,image,13,22
256,image,13,744
256,image,41,53
256,image,41,262
256,image,16,177
257,image,14,382
257,image,14,417
257,image,15,769
258,image,34,610
258,image,34,574
258,image,34,530
258,image,8,148
258,image,8,422
258,image,8,60
259,image,35,500
259,image,35,408
260,image,8,377
260,image,8,704
260,image,29,605
260,image,29,403
260,image,29,788
261,image,28,479
261,image,28,322
262,image,25,444
262,image,25,705
262,image,25,42
263,image,43,12
263,image,43,369
263,image,39,46
263,image,39,472
263,image,39,695
264,image,14,67
264,image,14,351
264,image,14,383
265,image,1,775
265,image,1,152
266,image,26,725
266,image,39,356
266,image,39,600
266,image,39,732
267,image,37,578
267,image,37,391
267,image,37,501
268,image,6,335
268,image,6,209
268,image,6,493
268,image,47,709
268,image,47,572
268,image,47,8
269,image,36,380
269,image,36,196
269,image,42,552
269,image,42,8
269,image,42,110
270,image,46,664
270,image,46,150
270,image,15,464
270,image,15,558
270,image,15,214
271,image,20,18
271,image,44,547
271,image,33,128
272,image,34,736
272,image,34,794
272,image,34,585
272,image,37,71
272,image,37,299
272,image,37,569
273,image,39,100
273,image,6,558
274,image,43,302
274,image,43,656
274,image,18,64
274,image,18,272
274,image,18,478
275,image,37,755
276,image,33,227
277,image,1,385
277,image,1,660
278,image,36,668
278,image,36,306
278,image,37,783
278,image,37,417
278,image,37,649
279,image,6,71
279,image,6,526
279,image,6,266
279,image,50,693
279,image,50,173
279,image,39,601
280,image,10,760
280,image,10,39
281,image,19,67
281,image,19,353
281,image,19,749
281,image,15,513
281,image,15,38
282,image,11,196
282,image,11,518
282,image,8,318
282,image,8,175
282,image,8,622
283,image,6,3
283,image,28,134
283,image,45,93
283,image,45,724
284,image,13,334
284,image,25,579
284,image,25,277
284,image,20,375
284,image,20,121
284,image,20,143
285,image,19,18
285,image,19,474
285,image,3,468
285,image,3,319
285,image,3,576
285,image,33,9
285,image,33,332
285,image,33,566
286,image,27,500
286,image,12,785
286,image,44,404
286,image,44,161
287,image,43,781
287,image,43,469
288,image,8,747
289,image,4,105
289,image,4,413
289,image,13,797
290,image,31,216
290,image,38,214
290,image,44,567
290,image,44,765
290,image,44,483
291,image,5,352
291,image,5,356
291,image,2,622
291,image,2,373
292,image,37,376
292,image,34,19
292,image,34,298
292,image,34,775
292,image,47,20
292,image,47,538
292,image,47,220
293,image,11,781
293,image,11,233
293,image,24,534
293,image,24,636
293,image,24,512
293,image,45,229
293,image,45,134
293,image,45,725
294,image,31,302
294,image,31,338
294,image,42,508
294,image,42,546
294,image,35,40
294,image,35,573
294,image,35,117
295,image,1,777
296,image,7,242
296,image,7,288
296,image,31,418
296,image,35,486
296,image,35,48
296,image,35,315
297,image,6,315
298,image,26,671
298,image,26,798
298,image,26,33
299,image,16,621
299,image,16,16
299,image,13,499
300,image,8,683
300,image,8,701
300,image,8,129
300,image,9,773
300,image,9,398
301,image,14,17
301,image,18,213
302,image,45,735
302,image,45,516
303,image,23,407
304,image,37,73
304,image,37,387
304,image,46,737
305,image,12,466
305,image,43,325
306,image,13,320
306,image,13,614
307,image,35,248
307,image,41,644
308,image,34,595
308,image,34,384
308,image,34,397
309,image,33,717
309,image,33,640
309,image,48,178
309,image,48,338
309,image,48,597
310,image,11,454
310,image,11,15
311,image,43,770
311,image,43,603
311,image,43,411
312,image,27,619
312,image,27,642
312,image,40,760
312,image,40,737
312,image,13,330
312,image,13,220
313,image,15,137
313,image,15,282
313,image,18,790
314,image,48,752
314,image,26,238
314,image,38,156
315,image,27,734
315,image,27,201
315,image,27,41
315,image,1,315
315,image,1,182
315,image,1,123
315,image,31,52
316,image,2,394
316,image,30,405
316,image,30,720
316,image,30,489
317,image,4,365
318,image,41,596
318,image,41,664
318,image,25,315
318,image,25,20
319,image,39,248
319,image,39,172
319,image,39,583
320,image,44,88
320,image,44,320
320,image,44,404
320,image,12,88
320,image,12,333
321,image,6,788
321,image,6,160
321,image,6,338
321,image,50,90
321,image,50,560
322,image,35,184
323,image,15,100
323,image,21,494
323,image,29,466
323,image,29,169
323,image,29,494
324,image,41,47
324,image,41,64
324,image,41,449
324,image,30,642
324,image,30,44
325,image,37,722
325,image,4,574
325,image,11,737
325,image,11,34
325,image,11,464
326,image,8,632
326,image,8,740
326,image,49,348
327,image,46,422
327,image,46,534
327,image,46,520
328,image,19,474
328,image,19,666
328,image,19,485
328,image,37,670
328,image,37,42
328,image,37,633
328,image,2,105
328,image,2,514
329,image,21,667
329,image,21,742
329,image,39,549
329,image,39,783
329,image,35,398
329,image,35,749
330,image,43,290
330,image,43,536
330,image,16,459
330,image,16,626
330,image,37,485
331,image,50,508
331,image,50,657
331,image,50,162
331,image,49,432
332,image,31,1
332,image,31,183
332,image,3,138
332,image,41,649
332,image,41,4
332,image,41,266
333,image,8,744
333,image,36,125
333,image,36,180
333,image,36,654
333,image,11,36
333,image,11,652
334,image,13,391
334,image,13,511
334,image,13,590
335,image,34,511
335,image,34,796
335,image,34,700
335,image,1,719
335,image,29,656
335,image,29,360
336,image,32,95
336,image,32,558
336,image,12,779
336,image,12,426
336,image,12,121
337,image,34,774
337,image,34,665
337,image,9,666
337,image,9,298
338,image,50,405
338,image,50,197
338,image,30,608
338,image,40,28
338,image,40,257
339,image,36,637
339,image,50,117
339,image,50,602
339,image,50,658
340,image,9,448
340,image,9,369
340,image,9,243
340,image,36,630
340,image,37,260
340,image,37,419
340,image,37,153
341,image,10,171
341,image,10,25
342,image,49,463
342,image,49,245
342,image,49,709
342,image,11,133
343,image,50,437
343,image,13,510
343,image,13,336
343,image,19,3
344,image,36,97
344,image,36,449
345,image,12,319
345,image,12,435
346,image,36,10
347,image,6,272
348,image,33,295
348,image,33,487
348,image,33,205
349,image,20,367
350,image,7,328
351,image,5,325
351,image,5,731
351,image,5,267
351,image,21,382
351,image,21,53
351,image,21,756
351,image,36,646
351,image,36,478
352,image,42,540
352,image,42,118
352,image,30,718
352,image,30,654
352,image,30,509
352,image,32,673
352,image,32,726
353,image,41,497
353,image,41,32
353,image,5,426
353,image,5,430
354,image,2,774
355,image,38,27
355,image,8,7
355,image,8,690
355,image,8,138
355,image,9,657
355,image,9,171
355,image,9,142
356,image,14,632
356,image,14,99
356,image,14,167
357,image,30,607
357,image,30,751
358,image,14,678
358,image,14,288
358,image,36,154
358,image,36,140
358,image,9,207
358,image,9,174
358,image,9,202
359,image,19,124
359,image,19,462
360,image,9,344
360,image,9,321
360,image,9,653
360,image,12,603
360,image,12,354
361,image,33,327
362,image,50,304
362,image,50,96
362,image,28,453
362,image,28,713
362,image,28,292
362,image,22,494
362,image,22,301
362,image,22,48
363,image,19,784
363,image,19,486
363,image,27,114
363,image,27,239
363,image,27,487
364,image,32,773
364,image,32,196
365,image,38,136
365,image,38,261
366,image,19,155
366,image,19,617
366,image,27,545
366,image,40,318
367,image,4,392
367,image,4,606
367,image,4,41
368,image,9,238
368,image,9,341
368,image,9,63
368,image,18,582
369,image,30,316
370,image,18,152
370,image,18,150
370,image,19,793
370,image,40,777
371,image,29,658
371,image,29,87
371,image,50,272
371,image,39,186
371,image,39,535
371,image,39,583
372,image,27,300
372,image,27,73
372,image,6,68
372,image,6,469
372,image,6,56
372,image,36,392
372,image,36,123
372,image,36,43
373,image,22,304
373,image,26,344
373,image,26,71
374,image,29,436
374,image,29,421
374,image,5,795
375,image,16,184
375,image,16,129
375,image,22,213
375,image,22,716
375,image,22,737
376,image,48,86
376,image,48,30
376,image,48,392
377,image,11,119
377,image,11,4
377,image,11,755
378,image,15,755
378,image,19,313
379,image,17,663
379,image,17,244
379,image,10,520
379,image,10,519
380,image,7,292
380,image,7,277
380,image,7,223
380,image,39,380
380,image,39,720
380,image,24,634
381,image,42,676
381,image,42,89
381,image,34,743
381,image,34,128
382,image,45,669
382,image,45,760
382,image,29,373
382,image,29,271
382,image,29,93
382,image,22,706
383,image,50,15
383,image,50,544
383,image,27,717
384,image,31,395
384,image,31,670
384,image,31,366
384,image,30,141
384,image,30,434
384,image,30,635
385,image,18,165
385,image,18,180
385,image,18,270
385,image,12,559
386,image,6,291
386,image,6,628
386,image,6,347
386,image,30,774
386,image,30,716
386,image,30,299
387,image,39,291
387,image,39,309
387,image,39,295
387,image,16,136
387,image,12,227
388,image,10,172
389,image,44,14
389,image,24,37
389,image,24,275
389,image,24,20
390,image,3,382
390,image,10,491
390,image,30,344
391,image,34,453
391,image,34,79
391,image,34,451
391,image,26,559
391,image,9,347
391,image,9,607
392,image,10,391
392,image,10,320
392,image,30,356
392,image,30,515
393,image,44,520
394,image,45,368
394,image,45,597
394,image,45,654
394,image,2,108
394,image,2,608
395,image,34,291
396,image,19,293
396,image,19,287
396,image,1,178
396,image,1,118
396,image,1,631
397,image,44,96
397,image,44,283
397,image,44,773
397,image,20,132
398,image,36,739
398,image,36,430
398,image,43,643
398,image,43,121
398,image,41,654
398,image,41,357
399,image,40,495
399,image,40,515
399,image,32,52
399,image,44,431
400,image,12,136
400,image,12,712
400,image,12,421
400,image,11,70
400,image,11,368
400,image,11,60
400,image,2,743
400,image,2,81
401,video,37,270
401,video,48,194
401,video,48,401
401,video,48,525
401,video,44,87
402,video,1,296
402,video,33,514
403,video,39,561
403,video,39,430
403,video,38,148
403,video,38,639
404,video,32,278
405,video,17,513
405,video,6,644
405,video,6,792
405,video,6,375
405,video,31,126
406,video,49,480
407,video,44,81
407,video,44,785
407,video,44,786
407,video,47,162
408,video,39,35
408,video,39,11
409,video,34,355
409,video,34,577
409,video,34,364
410,video,29,113
410,video,7,770
410,video,1,165
411,video,20,370
411,video,20,631
412,video,11,99
412,video,11,575
412,video,36,395
412,video,12,111
412,video,12,301
413,video,18,19
413,video,18,553
413,video,12,118
414,video,44,233
414,video,44,180
414,video,48,460
414,video,48,456
415,video,5,419
415,video,5,533
415,video,17,673
415,video,17,776
415,video,17,30
416,video,2,5
416,video,2,159
416,video,45,387
416,video,45,765
416,video,43,699
416,video,43,164
416,video,43,361
417,video,18,429
417,video,48,373
418,video,49,169
418,video,49,399
418,video,49,214
418,video,46,121
418,video,46,420
418,video,46,70
418,video,31,14
418,video,31,308
418,video,31,675
419,video,9,762
420,video,12,30
420,video,12,632
421,video,20,141
421,video,20,159
421,video,26,483
421,video,26,238
421,video,26,621
422,video,42,147
422,video,42,735
422,video,42,50
423,video,7,355
423,video,7,532
423,video,7,668
423,video,2,477
423,video,2,193
423,video,44,449
424,video,27,573
424,video,27,132
424,video,27,91
424,video,17,727
424,video,17,219
424,video,19,629
425,video,22,754
425,video,22,378
425,video,46,563
426,video,6,623
426,video,6,97
426,video,36,255
426,video,36,48
426,video,36,33
426,video,44,640
426,video,44,442
426,video,44,262
427,video,50,395
427,video,50,736
427,video,8,55
427,video,8,135
427,video,8,756
428,video,3,746
428,video,3,198
428,video,3,551
428,video,18,665
428,video,18,491
429,video,29,682
429,video,29,399
430,video,33,383
430,video,33,561
430,video,36,432
430,video,36,737
431,video,16,601
431,video,16,305
431,video,16,159
431,video,2,613
