item_id,category,attribute_id
490,video,31
491,video,12
491,video,33
491,video,41
492,video,38
492,video,47
493,video,1
494,video,3
494,video,26
494,video,28
495,video,32
495,video,50
496,video,27
497,video,49
498,video,32
499,video,14
500,video,7
500,video,23
501,document,15
501,document,43
502,document,39
502,document,20
503,document,22
504,document,18
504,document,14
504,document,46
505,document,23
505,document,46
505,document,31
506,document,38
507,document,19
507,document,27
507,document,1
508,document,9
508,document,47
508,document,37
509,document,44
510,document,48
510,document,34
510,document,15
511,document,15
511,document,47
512,document,2
512,document,10
512,document,5
513,document,37
513,document,29
514,document,20
514,document,5
515,document,45
516,document,25
516,document,29
517,document,12
517,document,5
518,document,19
518,document,34
519,document,38
519,document,31
520,document,40
521,document,17
522,document,7
522,document,41
522,document,13
523,document,37
523,document,50
523,document,14
524,document,31
525,document,1
525,document,29
525,document,33
526,document,5
526,document,2
527,document,25
527,document,6
527,document,31
528,document,30
528,document,36
529,document,6
529,document,47
529,document,11
530,document,10
531,document,14
531,document,37
531,document,41
532,document,1
532,document,50
533,document,10
533,document,29
533,document,23
534,document,4
534,document,11
534,document,22
535,document,11
535,document,42
535,document,44
536,document,13
536,document,44
536,document,12
537,document,38
538,document,3
538,document,43
539,document,5
540,document,38
540,document,21
541,document,23
542,document,39
542,document,46
542,document,18
543,document,12
543,document,42
543,document,1
544,document,2
544,document,16
545,document,4
545,document,38
545,document,36
546,document,11
546,document,50
546,document,49
547,document,39
548,document,32
548,document,31
548,document,12
549,document,12
550,document,38
550,document,33
551,document,3
551,document,23
552,document,48
552,document,34
553,document,5
553,document,41
553,document,20
554,document,30
555,document,30
555,document,28
555,document,38
556,document,14
557,document,39
557,document,19
557,document,21
558,document,6
559,document,44
559,document,27
559,document,30
560,document,48
560,document,31
560,document,10
561,document,7
561,document,41
561,document,40
562,document,9
562,document,50
562,document,47
563,document,50
564,document,43
564,document,48
564,document,24
565,document,30
566,document,38
566,document,48
567,document,16
568,document,17
568,document,7
569,document,48
569,document,11
569,document,4
570,document,29
570,document,47
570,document,37
571,document,35
572,document,3
572,document,22
572,document,29
573,document,42
573,document,49
573,document,21
574,document,12
575,document,21
575,document,38
575,document,13
576,document,37
576,document,44
576,document,4
577,document,36
577,document,39
578,document,43
578,document,16
579,document,17
579,document,45
580,document,43
581,document,45
581,document,11
582,document,42
582,document,3
583,document,2
583,document,29
584,document,13
584,document,25
585,document,39
586,document,39
586,document,43
586,document,34
587,document,7
588,document,40
588,document,16
589,document,45
590,document,49
591,document,34
591,document,27
592,document,3
592,document,46
592,document,26
593,document,43
593,document,30
594,document,29
595,document,42
595,document,8
595,document,46
596,document,29
596,document,39
597,document,1
597,document,35
597,document,9
598,document,5
598,document,24
598,document,49
599,document,11
599,document,37
599,document,34
600,document,7
601,document,24
601,document,43
602,document,27
602,document,30
603,document,22
604,document,37
605,document,46
605,document,32
606,document,17
606,document,26
607,document,29
608,document,38
609,document,29
610,document,13
610,document,33
611,document,12
611,document,50
612,document,24
613,document,26
613,document,5
614,document,27
614,document,12
614,document,3
615,document,20
616,document,1
616,document,47
616,document,49
617,document,41
618,document,30
618,document,21
618,document,12
619,document,26
619,document,44
620,document,1
620,document,26
620,document,6
621,document,49
622,document,4
622,document,44
622,document,39
623,document,6
624,document,10
624,document,3
624,document,12
625,document,15
625,document,1
625,document,42
626,document,29
626,document,35
627,document,3
628,document,25
629,document,44
630,document,13
630,document,19
631,document,30
631,document,50
632,document,14
633,document,3
633,document,5
633,document,31
634,document,21
634,document,43
634,document,36
635,document,9
636,document,39
637,document,31
638,document,31
638,document,38
639,document,32
639,document,16
640,document,22
641,document,42
641,document,40
641,document,44
642,document,49
643,document,17
644,document,26
644,document,34
644,document,49
645,document,35
646,document,40
646,document,20
646,document,37
647,document,9
647,document,6
648,document,3
648,document,12
649,document,43
650,document,36
650,document,5
651,link,35
652,link,37
653,link,30
654,link,4
654,link,37
654,link,40
655,link,25
655,link,5
656,link,38
657,link,8
657,link,49
657,link,6
658,link,37
659,link,15
659,link,9
659,link,35
660,link,22
661,link,40
662,link,10
663,link,40
663,link,49
663,link,12
664,link,47
664,link,13
664,link,21
665,link,8
666,link,23
666,link,39
667,link,33
667,link,41
668,link,33
669,link,31
669,link,41
670,link,40
670,link,1
671,link,33
672,link,12
673,link,11
673,link,18
674,link,50
675,link,22
675,link,48
676,link,47
677,link,30
677,link,26
677,link,13
678,link,39
679,link,14
680,link,2
680,link,7
681,link,10
681,link,2
682,link,5
682,link,22
683,link,37
684,link,13
684,link,26
685,link,25
685,link,2
685,link,38
686,link,11
687,link,22
687,link,47
687,link,16
688,link,8
688,link,26
689,link,1
689,link,19
689,link,9
690,link,21
690,link,13
691,link,22
691,link,45
692,link,39
693,link,28
693,link,20
694,link,49
695,link,49
695,link,28
696,link,29
697,link,39
697,link,4
697,link,17
698,link,4
698,link,31
699,link,18
700,link,22
700,link,49
701,link,50
701,link,12
702,link,41
703,link,41
703,link,19
703,link,23
704,link,6
705,link,24
705,link,22
706,link,13
707,link,11
707,link,29
707,link,30
708,link,48
708,link,42
709,link,7
710,link,31
711,link,30
711,link,16
712,link,37
713,link,24
713,link,45
713,link,5
714,link,48
714,link,19
715,link,23
716,link,37
716,link,41
717,link,29
717,link,11
718,link,27
718,link,32
719,link,7
719,link,47
720,link,42
721,link,31
722,link,49
723,link,44
723,link,4
724,link,47
724,link,36
724,link,15
725,link,47
725,link,50
725,link,30
726,link,31
726,link,33
726,link,23
727,link,24
727,link,43
727,link,17
728,link,5
729,link,37
729,link,9
730,link,40
730,link,6
731,link,40
732,link,19
732,link,21
732,link,45
733,link,42
734,link,35
734,link,32
734,link,50
735,link,22
735,link,10
736,link,31
737,link,4
737,link,19
738,link,28
739,link,21
740,link,9
741,link,42
742,link,21
742,link,11
742,link,13
743,link,46
744,link,2
744,link,43
744,link,25
745,link,18
745,link,3
746,link,24
747,link,27
748,link,3
749,link,45
749,link,38
750,link,29
751,link,27
752,link,47
752,link,44
753,link,4
754,link,47
754,link,10
755,link,46
755,link,32
755,link,41
756,link,10
756,link,24
757,link,1
758,link,37
758,link,20
758,link,38
759,link,35
759,link,21
760,link,50
760,link,20
761,link,21
761,link,34
762,link,1
762,link,40
763,link,28
763,link,14
763,link,2
764,link,20
765,link,39
766,link,42
766,link,35
767,link,26
768,link,10
769,link,35
770,link,40
771,link,31
771,link,27
772,link,50
772,link,20
773,link,45
773,link,18
774,link,49
774,link,15
775,link,28
775,link,41
775,link,20
776,link,8
776,link,30
776,link,4
777,link,43
777,link,4
777,link,16
778,link,46
778,link,48
779,link,37
779,link,15
780,link,13
780,link,21
781,link,42
781,link,39
781,link,21
782,link,26
782,link,41
782,link,10
783,link,41
783,link,11
784,link,34
784,link,17
785,link,33
785,link,24
786,link,1
787,link,13
787,link,34
788,link,37
789,link,25
789,link,43
789,link,50
790,link,39
790,link,46
790,link,50
791,link,15
791,link,28
792,link,5
793,link,35
794,link,31
794,link,14
795,link,38
796,link,7
797,link,3
797,link,13
797,link,41
798,link,27
798,link,34
799,link,40
800,link,20
800,link,3
